Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.3462849035636339;0.27043197377628353;0.26998462893796504;0.35255946535891647;0.3445119010287777;
birds;0.6131614573728856;0.6165849590492447;0.6048911151956888;0.6106741559609205;0.6205368045275123;
Business1;0.8749173590034584;0.8472584723800803;0.8469783561855009;0.874603295500316;0.8749681225907928;
CAL500;0.4915803426073981;0.4601848685753705;0.45290788111423363;0.49745981185827876;0.4892655230525552;
Computers1;0.6486225964571973;0.6008605391694453;0.6033729576908967;0.6490227849831985;0.6485409719761319;
Corel5k;0.24654188547933015;0.17848231153402458;0.17824647820069126;0.2406497147855471;0.2454761342418689;
Education1;0.5092195901478934;0.44164005622583125;0.4401992138872333;0.509304270750894;0.5089596493164061;
emotions;0.7974606735349508;0.8008889205399672;0.7908594850369526;0.7983080915982212;0.7965391128202693;
enron;0.6271006747425231;0.5414779019593329;0.5349061139381616;0.6289005111669927;0.6253019315244706;
Entertainment1;0.5722066724439989;0.5051729760281178;0.5051461365413412;0.5732150154746317;0.5721963503760792;
flags_ml;0.832585636098794;0.8183267409977937;0.8061476661739821;0.8315708609129662;0.831833467215046;
protein;0.9889974254925347;0.9820337586390219;0.9820337586390219;0.9871746675616713;0.9893581794691186;
Health1;0.6533777233843764;0.6032475704898064;0.59428595542553;0.6532326760679286;0.6533398369518657;
mediamill;0.751702252923771;0.7390719745763001;0.7329548439750722;0.7516650590077416;0.7516497251858687;
medical;0.8083507917373705;0.7624226328852673;0.7655763046103677;0.8058312323664467;0.8088218078958336;
scene;0.8624845081276613;0.8461940315674751;0.8343532089382709;0.8636747440066938;0.8622756014872193;
Science1;0.438200291678423;0.33114603282786215;0.3309774609785743;0.43649157838139685;0.4373404724043688;
Social1;0.6480292452058598;0.5953447008517654;0.5933066906665495;0.648477880298641;0.6485237434310096;
Society1;0.5749327251946122;0.5475690723596969;0.5468717902612307;0.5748787516687021;0.5747787078551041;
yeast;0.7646571111302578;0.7589120407321428;0.7541216936918025;0.7634306686183471;0.7646223587593118;
