Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.1643734486533676;0.19360859623732538;0.19793166078232055;0.13897721540723576;0.17230840829218116;
birds;0.5633370247323736;0.23647840531561465;0.2561609449981543;0.5589073458840901;0.5725655223329642;
Business1;0.7447193759452061;0.7414798919000476;0.7328953044848932;0.7451193899632;0.7456530059730325;
CAL500;0.32431168636440433;0.3067198541247623;0.4393520178614966;0.32317882982172436;0.3294090896731253;
Computers1;0.3908674243666111;0.47398224689758833;0.485707738953214;0.40706084490154265;0.3935653636396078;
Corel5k;0.01740142857142857;0.0968390476190478;0.09955809523809545;0.0030047619047619046;0.02241476190476191;
Education1;0.03514124741057409;0.25598471354082325;0.2635240002446984;0.034933433611737855;0.03798414017865389;
emotions;0.6131486492902244;0.6165916536105966;0.6753582449929121;0.6148616056592127;0.6287808004557753;
enron;0.4096757134629314;0.3379276298807093;0.36697984610792983;0.40646925636799736;0.4127896375087167;
Entertainment1;0.14497556283946764;0.3432306976131434;0.3487214689637774;0.14372183589700174;0.14869387530448777;
flags_ml;0.7112117998960106;0.6788257551415446;0.7254164286755381;0.7093317029349417;0.7103307720919058;
protein;0.9552489991211797;0.962030183684319;0.9638369733858457;0.9479200707396197;0.9749678850806671;
Health1;0.31908814222774035;0.4305263702439138;0.4622480018623394;0.3190881422277403;0.3237196830569998;
mediamill;0.5745872832053002;0.5673183102436916;0.5966706527982322;0.5725321501627099;0.5751192796923437;
medical;0.5859169719169722;0.6213246118960407;0.6205295656724231;0.5168880167451597;0.6294526425955;
scene;0.684669875748714;0.7340420056187693;0.7438703944928019;0.6897250426296071;0.6882023101940116;
Science1;0.03231827139724822;0.18855336611596477;0.18949960979549296;0.03224045038557507;0.03892225362226753;
Social1;0.26440388189854064;0.44759195312832406;0.4526051940620186;0.264186430756234;0.26630301829430014;
Society1;0.17799783261462793;0.3980352230753234;0.40730931753226524;0.17763556364089136;0.1822862352026649;
yeast;0.6245863105889548;0.6058940308294811;0.6579106189535748;0.6239546722282472;0.6250405460511468;
