Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.07225751561686271;0.06558265153886629;0.0772101522491051;0.03901933951904079;0.08684808215708435;
birds;0.1662166210890199;0.2410415097321041;0.31865640118315897;0.15230263669970817;0.22073101662963612;
Business1;0.1557510804252764;0.12991841480215596;0.16481642704625532;0.1551710974458398;0.16346060793208822;
CAL500;0.1008437116392201;0.11935853622889818;0.1980482446626923;0.0966719633494097;0.1055749783507303;
Computers1;0.16860176972656868;0.14089073741009978;0.17263966406527506;0.16747746160830662;0.17682121570141862;
Corel5k;0.1935266179443408;0.19222966437990632;0.19286555090214055;0.18589789889066574;0.18998641725200086;
Education1;0.09267769383625439;0.12513963307695466;0.12930577714226948;0.09172653338159402;0.10074199209930854;
emotions;0.6109044555762606;0.6239821831533978;0.6857343207194614;0.6181839363079114;0.6346273065504613;
enron;0.1581900633324254;0.1492179579910255;0.15837594245824158;0.1541559278946453;0.16386945429218808;
Entertainment1;0.13569761538954667;0.16805163496020356;0.1867067327343853;0.13202203804575996;0.1559253904756604;
flags_ml;0.5736031706319219;0.5430908968997418;0.6622746633907589;0.5798433631586978;0.5813951010651325;
protein;0.7689952043202304;0.7758674203107593;0.7999478255022756;0.7338100191350453;0.8041813543173747;
Health1;0.2398860307781406;0.19395421863181064;0.2244872930092864;0.23983688051562613;0.24484337820516006;
mediamill;0.15703523713848283;0.14884955849999343;0.23023089790933365;0.13301206438255725;0.17227479957839928;
medical;0.530354495454907;0.5013391463733315;0.4958104228161318;0.48016433664400127;0.5541773279775548;
scene;0.7339778911796518;0.7365171549215814;0.7452109810909636;0.7353456185121882;0.7332113252696545;
Science1;0.046011786863993265;0.08696851510170009;0.09057475970457304;0.04596157529580687;0.05120367913850123;
Social1;0.11462873008611965;0.12365870106062955;0.1316319790246166;0.1140093278725077;0.11780547401079737;
Society1;0.07626817808235375;0.10474290329780316;0.12155721339793524;0.07534848505284979;0.08636765737791113;
yeast;0.38706926506417066;0.39464259312473643;0.46737533218078875;0.38221357516314736;0.39127086533801364;
