Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.17848865895175534;0.1421771038270939;0.18329039719664242;0.0920362419675004;0.22004447108682607;
birds;0.27149267399267396;0.23951817317077212;0.2978419433164015;0.2460480747322852;0.3266482854950347;
Business1;0.3474415830281695;0.31333775657478824;0.3257697281748615;0.35183897199706726;0.3786697788920619;
CAL500;0.11959775792048075;0.17479363219970356;0.20271541436382137;0.11217833661117467;0.13464690556937575;
Computers1;0.4592437920776408;0.42552016435945605;0.46855717725923485;0.48147702590358527;0.4716732212870906;
Corel5k;0.21219144723194736;0.20999562678609554;0.2130425294276969;0.19428698752228163;0.21658583181349775;
Education1;0.322326250384262;0.2472929645248862;0.2399438838972058;0.32088208916159383;0.3504219551196455;
emotions;0.7200954498928683;0.7286971037946179;0.6332138856775998;0.7063696851964256;0.7076302541153829;
enron;0.2015423707331633;0.22153654986276045;0.2303191898887146;0.2096058947050587;0.22082372410449427;
Entertainment1;0.5403802600421704;0.37093019327966775;0.385728360731821;0.5370270981646005;0.5672618091016546;
flags_ml;0.6240048053063633;0.6112245340556077;0.6175130822067729;0.6157945883596725;0.617162383662826;
protein;0.7987654320987654;0.8113747550428563;0.8251313687994701;0.7617283950617283;0.8138110799875505;
Health1;0.4463758608167451;0.35423254019753364;0.4047391479683207;0.44597077937825313;0.4892040596734152;
mediamill;0.44113905541282283;0.44026363263781265;0.3969571193239593;0.4150666399102252;0.47052572953035404;
medical;0.5793232414576946;0.5437041890814217;0.5361147530536529;0.5370546319560522;0.5993960064443973;
scene;0.8006616340131008;0.7895665297350244;0.7364227012699744;0.7930069924997187;0.7903031495894576;
Science1;0.17654092763890628;0.1971204768231304;0.2097146371894923;0.17311235621033486;0.22123546319594184;
Social1;0.22448308580169604;0.2475312439641426;0.2619650232505748;0.2264218858662876;0.2684822343775037;
Society1;0.36277134771803493;0.2748232613564048;0.29257148707110614;0.37713764012870754;0.43350739557164514;
yeast;0.6048003575634445;0.6081792942748823;0.480831025529388;0.5996884375601035;0.6041962347601516;
