Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.054104514254202686;0.06027676993304896;0.06980501751244628;0.030335091817789733;0.06506725289594499;
birds;0.13700704864152163;0.2753973600396403;0.4003710105497021;0.12267720228650367;0.20005633853291677;
Business1;0.13652475644270284;0.12080175567047094;0.14735614305443964;0.13612828606560473;0.14110597577284595;
CAL500;0.10555245119835646;0.1103742079371159;0.2176435254560038;0.10305095016774704;0.10919890433364059;
Computers1;0.13489917912157012;0.11571018486590219;0.13799862551349684;0.13394522795401448;0.1416327333917601;
Corel5k;0.1910370822822188;0.19150020633215686;0.1919701506828944;0.18549938215867195;0.18695718510693282;
Education1;0.07597545581207062;0.11011653842383103;0.11512453428087892;0.07542697717746759;0.08247486481482022;
emotions;0.5784227129701903;0.5671613781507515;0.7606580812760043;0.5835987732933094;0.6120418913019897;
enron;0.15030555995782996;0.13549265338016037;0.14467053756087928;0.14295874434794548;0.15385975856939813;
Entertainment1;0.09349976108933192;0.14258061363542981;0.1585106083188217;0.09115570588063437;0.11201048448830289;
flags_ml;0.5837230444844188;0.5213798897346559;0.7547519307979762;0.5941982917423486;0.5905370698310528;
protein;0.7537041323479232;0.7595837187503856;0.7911269286269287;0.7186424039528614;0.8036551792434146;
Health1;0.21790391728663994;0.18676364591485903;0.21406873726414935;0.21787687728893207;0.21907584068212488;
mediamill;0.11746390768796984;0.11224150294496835;0.1953952605072086;0.09827175608485816;0.12816982061078092;
medical;0.5122224058402776;0.4947282499202995;0.49279056444069774;0.46128417292818835;0.539986760996916;
scene;0.6844045130474449;0.7140032079684142;0.7811527990621621;0.6930972550571053;0.691861433631251;
Science1;0.038729928534776484;0.08655193745715689;0.08935272443842604;0.03871098914083709;0.04003610436420278;
Social1;0.09806832726602537;0.11271808217937185;0.1202083271966408;0.09729623722991063;0.09806557919888581;
Society1;0.05912559249988214;0.0925606164711702;0.10923347783618134;0.05860190154924505;0.0648628378314164;
yeast;0.35784195490991777;0.3493376477626469;0.5073225528407914;0.3549350070943954;0.36043768504385526;
