Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.8017691714021961;0.3345632631312282;0.3387561347597709;0.9037325386431349;0.7662517762227941;
birds;0.670281964505328;0.33406012925962686;0.3509497581361562;0.6769239815080221;0.5963906824500045;
Business1;0.8637731150574876;0.8652044069131826;0.7665821033327394;0.8629091818858626;0.8625266211735433;
CAL500;0.5955405037077962;0.5692591957946913;0.4455527284127722;0.6073876842990356;0.5870972361766037;
Computers1;0.642918542219997;0.562214775931349;0.5611365062395823;0.6325240796224765;0.642196464602461;
Corel5k;0.5879615991673429;0.2128514741146475;0.21836696537156836;0.554453781512605;0.5352467490629349;
Education1;0.8055290414053301;0.3100667325627353;0.3085180626852231;0.8100374252619206;0.7997168945397168;
emotions;0.7151746955850455;0.7264724856906224;0.6293940528519826;0.7135534269611853;0.7099439446650871;
enron;0.6521374056461513;0.5701013523606561;0.5423384891994086;0.6719256275626257;0.6514351696329564;
Entertainment1;0.8102218415083842;0.39558909513686746;0.4017084522737727;0.8125597409588913;0.8021105505504315;
flags_ml;0.7232329597311398;0.748001313173727;0.6642697700231365;0.7218929586906915;0.7236447086236707;
protein;0.9986301369863014;0.9844341438009454;0.9809304255514061;0.9986206896551725;0.9813319290207346;
Health1;0.609697472000038;0.522998006269624;0.4835031666344226;0.6093564873130601;0.6105310305940509;
mediamill;0.7822992006552638;0.7743185693357575;0.6355174895824137;0.7853509355178492;0.7816957855515498;
medical;0.8040019638203667;0.6723263691333736;0.6561277736518314;0.8409136493598837;0.8018571562449244;
scene;0.7977232185457117;0.7548909731268176;0.6914277737805977;0.7871063048371286;0.7832711252048836;
Science1;0.6208878346843527;0.21451595170068355;0.21689463994068864;0.6163879557285471;0.6049383155171795;
Social1;0.6900503694284437;0.48281836628896463;0.46589150923417966;0.6904520603029616;0.6894413055505194;
Society1;0.6958199481511209;0.4886114577355093;0.4528822499306262;0.6952532597156187;0.6960859777104311;
yeast;0.7200204455488628;0.7345613065548584;0.6190253543821418;0.7182284347090727;0.7199518615818576;
