Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.13549149657609272;0.15296859056881734;0.1594224291575444;0.11133300063320346;0.14442406577235356;
birds;0.5503359173126615;0.20883720930232555;0.25514211886304905;0.544702842377261;0.5624806201550389;
Business1;0.6960286695912317;0.6912485302632613;0.7368739676542594;0.6966023153698384;0.6974168732059001;
CAL500;0.22695913342339485;0.21619257338748418;0.4461123954684396;0.22375543618339205;0.23358992417561114;
Computers1;0.3697031124806203;0.4431027618089588;0.46652724211076996;0.3850986900831885;0.3728905856269543;
Corel5k;0.013953333333333331;0.06416000000000004;0.0664866666666667;0.002033333333333333;0.01837;
Education1;0.033579381272648104;0.23723630830239303;0.254433592868755;0.03338542172706761;0.03637378415433279;
emotions;0.6086787257275792;0.5921212552817738;0.7745525328775578;0.6109694725347765;0.6342425105635474;
enron;0.3640417224563334;0.2837381650607458;0.32886836445233025;0.3545781596118408;0.36992315127419495;
Entertainment1;0.14097417333473888;0.3278256844288337;0.3393681288483402;0.13986349863804692;0.14485607959292165;
flags_ml;0.7393808238545081;0.6587256603046077;0.8458399203136044;0.7420843776106935;0.7390383008804062;
protein;0.9458297258297259;0.9519976076555023;0.9562696514012303;0.9356423255107466;0.9705354294827979;
Health1;0.2990349381441178;0.395822219304023;0.4782129940793715;0.2991164156020211;0.3037733049737394;
mediamill;0.5130216542701719;0.5054255145967451;0.6232487000664713;0.5090695421330833;0.5140171346328601;
medical;0.5802564102564103;0.6056732949590093;0.619293563579278;0.5069658119658119;0.6293066457352172;
scene;0.688341054108689;0.7242784597556382;0.7917873666836324;0.6976883682277873;0.6962356547418789;
Science1;0.031005264430357164;0.17828330237033368;0.1806919427906351;0.0309533837559084;0.03754997664447532;
Social1;0.2584760737541275;0.43321659678993746;0.4575211440915277;0.2582833955267672;0.26038897401642036;
Society1;0.16665654520637513;0.36469784736087824;0.3996852409115498;0.16638089303954975;0.17078758822143938;
yeast;0.5992019230500957;0.5675964607070557;0.733088452089787;0.5981709592212775;0.5998379721756988;
