Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;59839.2;12608.4;12708.8;118992.0;58781.0;
birds;1186.0;237.8;247.0;1201.2;1177.6;
Business1;505004.0;101949.8;100864.8;499206.8;477358.6;
CAL500;294.6;71.8;70.0;478.4;302.4;
Computers1;735554.2;159661.0;162643.2;772795.4;735308.4;
Corel5k;90331.0;18489.0;18550.6;164585.6;90713.8;
Education1;586683.8;125720.0;125950.2;623997.2;596381.8;
emotions;245.4;49.4;49.2;243.2;242.6;
enron;2915.4;649.2;657.4;3829.6;2971.2;
Entertainment1;847555.2;181538.8;183611.0;875854.0;847328.0;
flags_ml;9.6;2.8;2.2;10.8;10.2;
protein;3597.8;751.4;750.0;3829.0;3711.8;
Health1;348638.4;77481.0;77310.2;372144.4;353480.6;
mediamill;676471.4;135164.2;135868.8;1436335.2;682972.4;
medical;289.4;85.0;83.8;473.6;288.0;
scene;14419.6;2927.6;2894.4;14863.4;14610.4;
Science1;266575.0;62102.4;62052.8;280550.6;264509.2;
Social1;900818.8;197383.8;198450.4;941397.8;881322.4;
Society1;1322327.6;282318.0;280070.4;1359954.8;1338527.2;
yeast;6203.8;1262.0;1266.4;6383.8;6234.2;
