Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.06990813183510951;0.13892050607388876;0.13955778605418662;0.06689531751397877;0.07328443446344053;
birds;0.5277777777777778;0.17852713178294574;0.20035437430786268;0.5274160206718347;0.5417829457364342;
Business1;0.6815126039928019;0.6752184434659846;0.6252915895695967;0.681549756615777;0.6826897137613366;
CAL500;0.1919129737859966;0.17963700465124166;0.2734279060909782;0.191111083928409;0.18989167011414843;
Computers1;0.32866695662096446;0.44152748253000373;0.4080472417436033;0.32814270407747037;0.33078115181624057;
Corel5k;0.0048066666666666666;0.060846666666666716;0.062417900432900485;0.0035700000000000003;0.00701;
Education1;0.02376301310216522;0.21344786274960822;0.21348338843646325;0.02361061631635198;0.025109646518624074;
emotions;0.48482765987751025;0.5081244362151641;0.5496838057256801;0.4768527750083084;0.4901711532070455;
enron;0.2901947168896885;0.26020409639906805;0.286199803529553;0.2848802575771267;0.2948895761628211;
Entertainment1;0.10246094090948765;0.2951391172646546;0.294366888227482;0.10261761368595619;0.10351859125425504;
flags_ml;0.5776977700661912;0.5130454340980657;0.6097853608379924;0.578019086176981;0.5704337767495662;
protein;0.9284210526315789;0.9493815979342294;0.9519966583124477;0.919358623832308;0.9497739297739299;
Health1;0.2863398017879278;0.366767185376637;0.3767523917377166;0.28643033229670917;0.28992868981462133;
mediamill;0.4421518447424903;0.4464305739315206;0.448568304718283;0.4408602573149185;0.4421632501696938;
medical;0.44071821036106745;0.5772087039944183;0.5625235478806908;0.41890327926042203;0.46186159079016226;
scene;0.6206236718684851;0.7005985398101581;0.6748768701673264;0.6210394722842855;0.623464974709788;
Science1;0.019313171795516833;0.1625326160406493;0.16106294331978535;0.019390992807189984;0.022477005398137493;
Social1;0.22929033437400817;0.3903200163379613;0.3701561074481791;0.22914558180268366;0.23025368575054816;
Society1;0.15636434581918013;0.3496481986933084;0.32592472945733186;0.15634136524322703;0.15885012800862802;
yeast;0.49874853929529;0.48115656770589776;0.5249632520128135;0.498437545392399;0.49980127443893424;
