Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;74.8497633536173;73.61433400946585;73.7445571331981;71.93698444895199;76.10223123732251;
birds;4.066666666666666;3.097674418604651;3.1240310077519378;4.224806201550388;4.305426356589147;
Business1;2.5527047573519437;4.774036302056592;4.859204153033543;2.553596102136372;2.584095866891664;
CAL500;139.53370297029704;156.81770297029703;156.90681188118813;134.9632079207921;142.7332673267327;
Computers1;4.440860170602742;9.658310973427778;9.834375205889838;4.451385291423743;4.453316263585499;
Corel5k;136.90820000000002;266.803;266.8042;131.54500000000002;138.70559999999998;
Education1;4.413632585203658;10.747049044056526;10.791438071487947;4.415544472152951;4.437240232751455;
emotions;1.9158239567013244;1.9022931206380858;1.9427147130038456;1.8921378720979916;1.9326306793904002;
enron;15.48723650163878;23.093491461100566;23.13756598240469;15.286196308435397;15.870379506641365;
Entertainment1;3.3738413197172035;6.512961508248232;6.56457187745483;3.386174391201885;3.3783974862529456;
flags_ml;3.7780026990553304;3.907557354925776;4.03630229419703;3.7682860998650467;3.7470985155195677;
protein;1.101241740715425;0.42591706539074964;0.42440191387559806;1.1701526543631806;1.030656185919344;
Health1;3.897338403041825;8.70863661053775;8.820423682781096;3.8919065725149373;3.9113525258011954;
mediamill;17.20847434074279;26.72686352241184;26.995771703418264;17.30417974555371;17.27470440087837;
medical;4.517880690737833;4.065274725274725;4.059136577708006;4.608414442700157;5.05690737833595;
scene;0.6036326463712356;0.6115302663020505;0.6522493767307045;0.5953295779021921;0.6023861077802987;
Science1;7.93818518496106;16.39202921616208;16.416298842367063;7.910179787111727;8.0239087206734;
Social1;4.029742425073775;8.240050704557515;8.290667335093463;4.039896559703611;4.0825838808037345;
Society1;5.925367445877539;8.419808283120695;8.425114160996504;5.924403258778616;5.940182367963178;
yeast;6.437696559040434;6.895300549253119;6.990033023629861;6.44144551101073;6.4376965590404325;
