Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.014287233002070762;0.017755495171392986;0.024606120912906156;0.014266821454237577;0.014433515761541931;
birds;0.050428396572827404;0.07645858833129326;0.08600571195430425;0.04993880048959608;0.0500203998368013;
Business1;0.028509072199908735;0.02910078588568883;0.03924055000994906;0.028520965016347998;0.028473404356156824;
CAL500;0.14010413110276548;0.1463978604757028;0.20362569705246386;0.13857027426880625;0.14192113349265964;
Computers1;0.03972719173170376;0.04187748513805763;0.06214479341960629;0.039775890856336996;0.0396590021917355;
Corel5k;0.009414438502673688;0.011020320855614957;0.011033689839572177;0.009412834224598824;0.00941871657754;
Education1;0.04354013955011563;0.05775964130078977;0.07301191465780152;0.043542658505253046;0.04351243104360414;
emotions;0.21392251815980634;0.21226558419978164;0.24373783411669764;0.21644115273227937;0.21167212647770978;
enron;0.05464218642694181;0.061560696651814184;0.06599675824515625;0.05460872735084195;0.054986216032365566;
Entertainment1;0.06223394306662246;0.08147233756032057;0.09904612276961204;0.06231249766206629;0.0621740919462843;
flags_ml;0.2804511278195489;0.2988818199344515;0.2775400038557933;0.2819934451513399;0.28625409678041264;
protein;0.005760191725104005;0.00481000481000481;0.00447499219429044;0.01123136123136123;0.004420563192493017;
Health1;0.048465507876154265;0.05171442151004888;0.066020505160239;0.04846211298207496;0.048373845736013034;
mediamill;0.029372838405469687;0.029860365687789603;0.05110481071270839;0.029408017434949908;0.029367651740683443;
medical;0.01883528112099538;0.020289551718123123;0.02480365137507992;0.018926565497994034;0.018335833478690597;
scene;0.0982542708683787;0.10178584265721202;0.126087737913464;0.09811567072977856;0.09790777052187835;
Science1;0.03618942396717657;0.051571264319126266;0.05949788200979077;0.03618553291659292;0.036150495307138215;
Social1;0.029731439007667837;0.03614221230132434;0.04811939774092102;0.029788587174334847;0.02971873844412861;
Society1;0.058817209380982546;0.06421510012531388;0.08279502415664385;0.05882486605589069;0.0587534043429274;
yeast;0.1996236870601636;0.20470727277616038;0.2519009364435677;0.19962338151214487;0.19929827842024336;
