Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.12922872874824803;0.18409337607174414;0.16601379953536807;0.12445089204678024;0.13401117584206249;
birds;0.27907149600582287;0.3107146286533668;0.37245715416164416;0.2708258941221539;0.31726513054099265;
Business1;0.6725784399471912;0.6745040935385418;0.6409681429163506;0.6724437867794827;0.6733070813651475;
CAL500;0.31396555823900163;0.2999256119617594;0.41960215454678823;0.3120410327667695;0.3110219822354268;
Computers1;0.3908806232647796;0.45451109029287834;0.4105480864641625;0.3897975410404108;0.3936072088993746;
Corel5k;0.01010631333213606;0.0893460392798355;0.09205133182458725;0.00766144533704903;0.014756426494172267;
Education1;0.05022049340854157;0.2324251179125416;0.2441466850155088;0.049902886680973216;0.05243894095955267;
emotions;0.6126024147361507;0.6224910230697845;0.6655471416924914;0.607076076600257;0.6188272708375024;
enron;0.4352873465608226;0.31496292412950855;0.3614066440959864;0.4322854760617248;0.4395046422310752;
Entertainment1;0.1642655483701627;0.30033938951697425;0.31012729011684154;0.16350948494553097;0.16707278631787387;
flags_ml;0.7185664056550447;0.6645309486041621;0.7534625792417627;0.7171487822506848;0.7133084653264834;
protein;0.9349070282681108;0.9462348713093945;0.9503539865450019;0.8826267211236919;0.9509098202725124;
Health1;0.32548314698581643;0.3876941932764307;0.41926908560203036;0.32570573518888263;0.3290081883614143;
mediamill;0.5659723101889826;0.5772802875360526;0.5203351411813915;0.5654146154128588;0.5657681321229943;
medical;0.5614589780379987;0.6061930268453379;0.5707847343728616;0.5477992117074265;0.5800445801668512;
scene;0.690209062191926;0.7070803708455969;0.6912972538521528;0.6905099159661502;0.6919347557777195;
Science1;0.02897730536541816;0.1590194298333027;0.1650146851310831;0.029183445111306862;0.03403526281354831;
Social1;0.3034738356100797;0.38336324451382897;0.3668871957366532;0.3030670970469836;0.3048386102508177;
Society1;0.19960251004456936;0.35433741810993796;0.3506602657183281;0.19963962958933928;0.20304442961460123;
yeast;0.6326842038651067;0.6147011854903746;0.6453441431587802;0.6324335768408635;0.633673174974495;
