Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.07019283755001679;0.13258875168439394;0.16152087916965976;0.0671301816858991;0.07392578680553766;
birds;0.18277409993204052;0.3227921319125061;0.47802647686743693;0.17384612117332826;0.21794537658242855;
Business1;0.5494044685727909;0.5652866259519375;0.6532309012371208;0.5492909611948112;0.5505171396354556;
CAL500;0.21429435305666802;0.20966661340675694;0.491732849041143;0.2100795735261761;0.2143070715116468;
Computers1;0.2817057574144727;0.3819774880697279;0.470756265102414;0.2807966153371803;0.2845025369987878;
Corel5k;0.0051100031520391834;0.05740770928578583;0.05939742550067193;0.0038635416987534144;0.007499289459427483;
Education1;0.025979979271732866;0.1972273842619393;0.2655029119668063;0.02580968561961059;0.027175501025846215;
emotions;0.5448027394402223;0.5621166886009568;0.7769130550252301;0.5375458923201741;0.5530428622904682;
enron;0.3320004412250627;0.22200850218634588;0.29287465561990783;0.32731893903495807;0.34032774711970426;
Entertainment1;0.0909730421463079;0.25974828219132107;0.33055628882326415;0.09057852103740645;0.09275246736492171;
flags_ml;0.7434388138663797;0.6130832578942707;0.8784048469919385;0.7398438788138075;0.7391974735540602;
protein;0.889467572841897;0.9112474669891586;0.9230427157986055;0.8779868840203842;0.9296218270177485;
Health1;0.22947226806278226;0.3190868236558807;0.4626645059994655;0.22966860314131635;0.23292227998504872;
mediamill;0.4420661856208784;0.4706464798868235;0.6393961870436429;0.4415889041715434;0.44161730502707586;
medical;0.4376955247009839;0.5641228699787435;0.5871992450708514;0.4173434495780756;0.4600633696458286;
scene;0.6128762348162204;0.6863518951362098;0.7880288960877413;0.6128762348162204;0.6159650379050234;
Science1;0.014962752231745055;0.1345817556193068;0.1627451612527132;0.015070452824098312;0.017645764200003196;
Social1;0.19804863533951433;0.3425005304877836;0.42326811435997547;0.19804863533951433;0.1992754053355002;
Society1;0.11946118487835518;0.2848479865212263;0.36096008287058684;0.11950383635787057;0.12188715221381544;
yeast;0.5680891332305811;0.539409386657041;0.7572745009779199;0.5674948255575939;0.5695480940356182;
