Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.6658553076402975;0.7072346179851251;0.7237322515212983;0.6701825557809331;0.667207572684246;
birds;0.7565891472868217;0.7348837209302326;0.7441860465116279;0.7565891472868217;0.7550387596899225;
Business1;0.12983801721521968;0.13706207795647712;0.1522219389652335;0.1302838884617939;0.12965964485406675;
CAL500;0.1313861386138614;0.2071881188118812;0.2091683168316832;0.11948514851485151;0.1293861386138614;
Computers1;0.43748037990954414;0.44800982845420173;0.4914864309715158;0.43723919005682876;0.4374000263538993;
Corel5k;0.7529999999999999;0.8058;0.8058;0.7564;0.7538;
Education1;0.6656691604322527;0.7244389027431423;0.7395677472984206;0.6655029093931837;0.6653366583541147;
emotions;0.3087736789631107;0.3070502777382139;0.3272325879504344;0.3121350235009258;0.31380145278450366;
enron;0.3319924098671727;0.5000310505433845;0.5194221148870104;0.3390426082456443;0.3308193893393135;
Entertainment1;0.6029065200314218;0.675490966221524;0.6875098193244306;0.6065200314218381;0.602749410840534;
flags_ml;0.2827260458839406;0.21605937921727394;0.21619433198380564;0.29338731443994603;0.25195681511470985;
protein;0.015140123034859876;0.01662109820004557;0.01662109820004557;0.027181590339485074;0.013624971519708363;
Health1;0.469853340575774;0.5083107007061379;0.5517653449212385;0.4701792504073873;0.47007061379684956;
mediamill;0.17320718261626292;0.1823628898349942;0.2023595877426394;0.17136231357682558;0.17325273292102825;
medical;0.33335949764521194;0.3435531135531135;0.3374306645735217;0.3445839874411303;0.33642072213500784;
scene;0.2617368725252543;0.2721189430732999;0.3086757360616282;0.2613219347659182;0.26090527169365346;
Science1;0.7288403701036605;0.8204737036387071;0.8265418061010219;0.7300842960103117;0.7291515331223412;
Social1;0.4937658068339711;0.5622168913178243;0.5913651276832639;0.4939309596002799;0.49384838321712543;
Society1;0.4949695566719283;0.5149530192037373;0.5186051502604425;0.49517631063471257;0.4950384983997875;
yeast;0.24244819738890885;0.2478252314220694;0.24741286381602587;0.2428622760638571;0.24327293260099583;
