Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.16465073115114875;0.295799499876579;0.26748309261587977;0.1579670948839306;0.16851372242886226;
birds;0.5891472868217055;0.268733850129199;0.2558951642672572;0.5868217054263567;0.6001291989664084;
Business1;0.8676555244212756;0.8510297275337326;0.7456216718696936;0.8678338570115566;0.8687642758198034;
CAL500;0.591732122402398;0.5434267699150539;0.3889695465191491;0.6114279937334393;0.5785671220418744;
Computers1;0.4077218943415336;0.5549846817960441;0.491844804515016;0.4070790658963749;0.40987853253134804;
Corel5k;0.012766666666666666;0.1997;0.2021466666666667;0.0098;0.016116666666666665;
Education1;0.026724854530340812;0.27496120809088387;0.2605876774778276;0.026558603491271822;0.028387364921030757;
emotions;0.6457365997246356;0.6957057399230879;0.6021782272230927;0.6367730142904618;0.6493780563072686;
enron;0.516750716708971;0.49065579897648204;0.4723431590464379;0.524486902092215;0.5207796944779867;
Entertainment1;0.11296150824823252;0.3456489482412499;0.3350753903803399;0.11313498297983764;0.11381578947368423;
flags_ml;0.6918556005398112;0.7215114709851551;0.6600742240215924;0.6944961763382815;0.6852994666152561;
protein;0.9591423634844688;0.9828738512949038;0.9813672438672437;0.9545520999468368;0.9710111136426924;
Health1;0.3648053594061199;0.49554952018830345;0.4566297002380561;0.36478725330436357;0.3680556633299708;
mediamill;0.7501673253031136;0.7349356573498087;0.5683878773680263;0.7503609905084159;0.7490914510719516;
medical;0.49167626024768885;0.6477681841967556;0.6286957883386456;0.4698639455782313;0.5165716030001745;
scene;0.645551136837444;0.7305803090035454;0.6942426020019381;0.6459669372532444;0.6483924396787468;
Science1;0.021547222104556098;0.19415120029530836;0.18817376551228626;0.021702864127902403;0.025048138891746497;
Social1;0.24802619837712242;0.4344563539681139;0.4045583839095749;0.24788144580579793;0.2491271656988451;
Society1;0.19787632256023874;0.468876717858251;0.4164255541703364;0.19773851032531362;0.20073027229529344;
yeast;0.71311481557529;0.7086252335405359;0.5957851143850326;0.7128929469739749;0.7131079142640407;
