Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.3056139054662201;0.31792176113390214;0.318857966649431;0.29408959144589364;0.311558826532797;
birds;0.15032254086289654;0.10924755590966259;0.11099820190449464;0.15923651094307728;0.16236233670570197;
Business1;0.04677690185697901;0.09005595809380404;0.09343462778016676;0.04679172524329679;0.04735786492713956;
CAL500;0.19581312865643882;0.2635761712553001;0.26909312826912934;0.18821163068064606;0.19932108303079396;
Computers1;0.09343157346644373;0.22641593829329176;0.2325128633135108;0.09368170828573788;0.09359044915840567;
Corel5k;0.16059130386277237;0.3947291790849423;0.394731516570676;0.15418463222374318;0.16297725556500672;
Education1;0.10525940393999869;0.26860634072125517;0.2700839510906393;0.1052444646599513;0.10573206661412102;
emotions;0.18813982655208972;0.1855842789093038;0.19473144059883835;0.18425509186725533;0.19042922818845048;
enron;0.11077155174664373;0.18817117804459088;0.18961232854808296;0.10910848382918714;0.11368443672736073;
Entertainment1;0.12688188678265747;0.26452236472763674;0.2671411914503787;0.12715656711859796;0.12702424607569773;
flags_ml;0.22724246513720198;0.2260301394511921;0.24588843904633378;0.2289226270805218;0.22168915879442194;
protein;0.020210551906776165;0.004934897969222913;0.00491385419817914;0.024978348628234216;0.018746650798138212;
Health1;0.07717373726386731;0.1888207115399255;0.19258985763342834;0.07712762999434579;0.0774383922993792;
mediamill;0.046833807897548096;0.08219716489884232;0.08522793191519488;0.04694404352348931;0.046996624410808804;
medical;0.07720003326315619;0.06924486923893665;0.06909356152118373;0.07828658162663858;0.08836664552730052;
scene;0.10295489073497377;0.10481059898072356;0.11339014884658052;0.1012259498566553;0.10283012904382205;
Science1;0.15828363785614474;0.352168579599161;0.3527799836799434;0.15773818938610232;0.15982284694864424;
Social1;0.07866779254978987;0.1767874435887909;0.17822911550153905;0.07887651462581842;0.07974060764382165;
Society1;0.15101116810875242;0.22627656363890888;0.22654985401216354;0.15095833441660492;0.1513302094939083;
yeast;0.17499449375303694;0.19702449692901478;0.20602466741463443;0.1747653170435947;0.17485325279914982;
