Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.022853279242731575;0.05598377281947262;0.05490196078431373;0.02244759972954699;0.024881676808654496;
birds;0.4775193798449613;0.10077519379844961;0.09147286821705426;0.48062015503875977;0.48372093023255813;
Business1;0.5365616808443197;0.5189002319834967;0.40145457987442745;0.5365616808443197;0.5380775874034512;
CAL500;0.0;0.0;0.0;0.0;0.0;
Computers1;0.27186001041237395;0.3620196388223941;0.2591585613354709;0.27161894974543943;0.27402981478634614;
Corel5k;2.0E-4;0.0018000000000000002;0.0016;2.0E-4;6.000000000000001E-4;
Education1;0.020615128844555276;0.16517040731504573;0.13009143807148793;0.020448877805486286;0.021778886118038236;
emotions;0.2494231590941461;0.2527702606466315;0.23931063951004133;0.23767269619712295;0.2511180743483834;
enron;0.05405037088149043;0.10751768155942729;0.10340348456097981;0.0523046403312058;0.05522511643953769;
Entertainment1;0.09347996857816182;0.2554595443833464;0.21696779261586804;0.09371563236449335;0.0945797329143755;
flags_ml;0.08218623481781376;0.09784075573549256;0.09784075573549258;0.102834008097166;0.08232118758434546;
protein;0.8912850307587149;0.9124060150375939;0.9169400774663933;0.8731715652768284;0.913898382319435;
Health1;0.22737642585551332;0.2623574144486692;0.1900054318305269;0.22770233568712656;0.23074416078218363;
mediamill;0.13038926331362166;0.1309585993298143;0.10128233846648933;0.126813594215228;0.1318012864518175;
medical;0.38141287284144426;0.5;0.46017268445839876;0.3599372056514914;0.3977812663526949;
scene;0.5874552496959137;0.6680558311263706;0.541758611468155;0.5882868505275145;0.5899500521907161;
Science1;0.017579318733320824;0.1387673296984587;0.1193220010771493;0.017579318733320824;0.02038014898548269;
Social1;0.2107181282595604;0.3534798464890383;0.2615808180139886;0.21047043319032138;0.21154389209110463;
Society1;0.12561690857600433;0.26460765770717;0.18439749464241584;0.12568577908307027;0.12761519785255065;
yeast;0.16673425388840407;0.1795629930017282;0.15143644234553327;0.1663235973512653;0.17004773882244237;
