Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;2.1378829698034463;2.7764603149255276;2.802048506980636;2.093302575775726;2.1571477006964344;
birds;0.8126088242603778;0.6890941552940247;0.7249726987244152;0.8290403562887981;0.805727841722674;
Business1;0.1515575236856701;0.19660342538545061;0.2094537924069691;0.1517845566301523;0.15174383617561185;
CAL500;1.0596399882139151;1.2361473474926306;1.2986490184402433;1.0256383555814432;1.0698271345201684;
Computers1;0.5638956017251714;0.6986934676418222;0.7360876707109736;0.563742235468423;0.5641451582158278;
Corel5k;3.136539376846982;4.714339088041643;4.721106176454463;3.2192138258200984;3.156288419990154;
Education1;0.9857973091306595;1.3608344291716428;1.384061197175688;0.9853898983430267;0.9864225170512478;
emotions;0.2806218324725023;0.27279292522018045;0.2911527621973355;0.27913293060522815;0.28553543226832917;
enron;0.6304332410943118;0.8834229524763757;0.9142776957473027;0.633023570663673;0.6325067296333968;
Entertainment1;0.7705043359101676;1.0620334088735583;1.0781034099158244;0.7718367213251155;0.770700380810386;
flags_ml;0.24392267360559186;0.23791183838148455;0.25557644731541146;0.24723160718617715;0.23537354781606254;
protein;0.026525759932973486;0.018342204713320494;0.018213632120828684;0.03568128266582094;0.02554854169070692;
Health1;0.5602722279470606;0.7105804399267392;0.7656997346759665;0.5610606581130079;0.5608879891513346;
mediamill;0.36259225220102653;0.39044087372558745;0.42190457560952005;0.3627260399068475;0.3627951630262567;
medical;0.3393530015880736;0.3505451659169686;0.3455764949435835;0.35063464446313325;0.34540961626879746;
scene;0.1871202326330388;0.19641586920532453;0.22141110244818218;0.18572437095252808;0.18673966222754068;
Science1;1.3307454099163274;2.128410045864103;2.141593812723843;1.3388900625666098;1.3346759726026287;
Social1;0.5601503019090078;0.7610840012794017;0.788754494524891;0.5601513157095507;0.5599548503975306;
Society1;0.7606937319670817;0.8555410620483557;0.860207969659406;0.760964385706539;0.761402065780172;
yeast;0.3219748958615685;0.33558487190514447;0.35181182991128646;0.32251627276672096;0.32202908960958615;
