Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;1.3696976595713088;1.0933348865046815;1.0952579878733346;1.4537787798046045;1.3873848110877185;
birds;1.6955397543632835;1.1332955190017016;1.1358511837655016;1.7434420985284713;1.782413350449294;
Business1;1.1042288862516656;1.1273123501754299;1.1473991424631182;1.0999894776861847;1.1135122799725918;
CAL500;1.0692010639734522;1.0394988328878974;1.0400895098785479;1.0388543712139309;1.0679523328986773;
Computers1;1.0800963625576627;1.234574938096178;1.2578814934767186;1.0857970174096498;1.0816882243651889;
Corel5k;1.1888871328260822;1.081926196269262;1.0819310624493106;1.136856642589107;1.1907920378977659;
Education1;1.0580475459817071;1.3294976605481001;1.3344126142238941;1.0571786808900212;1.0621617319325056;
emotions;1.0768122323179763;1.0611706565179049;1.075617661207012;1.0716492558383413;1.0760934216265516;
enron;1.1719702810316008;1.0755362900083472;1.0771468557481292;1.1604748495256494;1.1915830480783838;
Entertainment1;1.0398014768187873;1.2254278873156168;1.2351019804906884;1.045044608223429;1.0411552521364418;
flags_ml;1.0339033127746795;1.0343657342907155;1.0276947393739475;1.0313204062788548;1.0226134354743666;
protein;1.6815746442612112;0.9759580244335387;0.9724861647697608;1.678777478140067;1.630519410301698;
Health1;1.1088958951533137;1.1571539927247532;1.1686001324160165;1.1073846248956754;1.1108574249483203;
mediamill;1.2176266015560457;1.2169606784399079;1.2277305669459408;1.2432680120479893;1.221187157254733;
medical;1.7541478221647913;1.3231900695255843;1.3238370574913516;1.867915523966479;1.9548515516428746;
scene;1.2493094970710534;1.131424886840274;1.1561070336391435;1.261404720909234;1.2456509639946913;
Science1;1.107603387193754;1.1941245265225235;1.195865399364261;1.1019732490541847;1.114267371642718;
Social1;1.0972356061111512;1.230859712448605;1.237687788688296;1.0983956885577217;1.1050147944155573;
Society1;1.04887509847408;1.0872275729349392;1.0877094723549667;1.0479247677332357;1.05010135997575;
yeast;1.0303294609997562;1.0510168845689505;1.059047178091134;1.0309960987512994;1.0294445341293705;
