Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;5.523992701091028;4.252585641745021;4.150541728990438;6.5623376382680965;5.2474604606851445;
birds;0.8036079366743554;3.3527208017233296;2.9685943505726198;0.8125198140124696;0.7642997137478403;
Business1;0.35375234328525995;0.35982051599099185;0.40306270583721715;0.3534986104524184;0.3518366822391086;
CAL500;2.1060627842032167;2.290449725393356;1.3179602468241314;2.1168320129291303;2.0825056728138494;
Computers1;1.6607136747444504;1.1116241217338225;1.0974133268310295;1.5960210350174004;1.643904736811104;
Corel5k;57.072161563090056;9.378674481958264;9.100130473046917;331.11283676703647;44.18580442310551;
Education1;27.752913656639084;3.0019423728362447;2.856734930977916;27.92237410153461;25.63830511536137;
emotions;0.712428037708822;0.658193754345602;0.5180208243001962;0.7230077145634691;0.6856850757436765;
enron;1.5099093572588582;1.9921868944628514;1.736641209481537;1.5316320331763766;1.4822917213531963;
Entertainment1;6.169252349820728;2.01076767660104;1.9350242203905719;6.221986106797049;6.008282986004745;
flags_ml;0.41930715864005075;0.5339348685553356;0.36345809263563505;0.4210788127476727;0.42945704117127736;
protein;0.06339898945241731;0.0412969649780426;0.03911065674019803;0.07066692366140358;0.04193625715013862;
Health1;2.164281197985343;1.377039452682702;1.1908943576271038;2.164133665506582;2.1218711031114377;
mediamill;0.7852101005027373;0.7876885610139543;0.7292662265321388;0.7887803908147798;0.7855884214539214;
medical;0.9208016999983918;0.63849818110562;0.6476013758969296;1.0863055918043243;0.8208161939693818;
scene;0.5377169991875359;0.3930712906376769;0.374721070543067;0.533374037488819;0.5306270011486169;
Science1;30.324239227855912;4.393289421701248;4.339854464064945;30.39421658856432;25.094474949605683;
Social1;2.8897797338810656;1.33209269846652;1.2992235236491392;2.8926015782862;2.8653574594417095;
Society1;4.673496583920923;1.550314156108523;1.5108074827040583;4.68328631376965;4.549031810766033;
yeast;0.6307636211767059;0.6886351553683798;0.546383127819327;0.6325394795345815;0.6290754231328006;
