Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;1.0432217599205111;1.0311666502025087;1.424870721497168;1.0372225313794592;1.0531182128451748;
birds;1.045685279187817;1.0599547511312217;1.159515951595159;1.0320404721753795;1.0032733224222588;
Business1;1.0226028391615862;1.0346710685519678;1.2900568322967731;1.0229203722478533;1.0224136589132269;
CAL500;1.0065811097865496;1.0305298136327514;1.227408053759413;1.0021539094650207;1.0157916515296406;
Computers1;1.0127881007798591;1.0005254717724295;1.492474761390813;1.0135890793369324;1.0125583846659632;
Corel5k;1.0042783799201362;1.0052682926829268;1.0076675131861692;0.9998295938653791;1.0030182232346236;
Education1;1.0098148039960273;1.0313961856783018;1.276984756366198;1.0099912357581071;1.0108256773362982;
emotions;1.0793747754222065;1.0755878992000965;1.1453095370886786;1.0920567239975087;1.0865125686921981;
enron;1.0315911073969846;1.0230370303860976;1.0821964891569058;1.0449733587859957;1.0413603377420866;
Entertainment1;1.0296447580146018;1.0512090351850967;1.2786980248225155;1.0306892711298066;1.0308875519444227;
flags_ml;1.0499458679177192;1.0916068159414167;0.9899601155274376;1.0589299934843985;1.0715935334872984;
protein;1.2713726951015087;1.0236149771033494;1.0255269773738156;2.1137933772730886;1.1300830546866574;
Health1;1.0322487346348517;1.0362585034013603;1.2435733469753165;1.0319525771705342;1.0329104748097138;
mediamill;1.0316813414810453;1.0415948138128879;1.5878994511202473;1.0314056439021095;1.03198959203099;
medical;1.191002808864836;1.0469155951302342;1.2533581694891354;1.1473374783233936;1.2245010483808336;
scene;1.1034300135469624;1.0872807805663192;1.23706019181371;1.089162164534637;1.076102810458032;
Science1;1.006818960459339;1.020630630992073;1.176144766481886;1.0064927135390178;1.0064987929068174;
Social1;1.0309056286802603;1.0729089495025887;1.3846029400250022;1.0328113543227972;1.0315253916807217;
Society1;1.01905805018646;1.023886298272736;1.2522578843393046;1.0187402219483532;1.020253286009289;
yeast;1.0349342792258478;1.0557910100878614;1.1568854339853096;1.0300376744033517;1.0340400207484923;
