Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;13.472276157042945;14.270417865485113;11.908049003856906;24.963347895200545;11.157700211953307;
birds;4.966717573825715;3.2340204295115687;2.2325848473214758;5.442977508737877;3.59289111153757;
Business1;5.6373431652814405;6.673548879907998;5.488090445889663;5.65789272714145;5.346278069491728;
CAL500;8.91901928745487;7.324759122764575;4.095836911673462;9.348484539081246;8.5357659286998;
Computers1;5.220560795597826;6.034403505847621;5.060653015269549;5.263612577104068;4.9388828550342305;
Corel5k;4.195491879084182;4.207516953936915;4.19279741912889;4.370495041310003;4.270939089461602;
Education1;10.10541631883504;6.989739572512458;7.056533481198779;10.210083499289064;9.259253824267573;
emotions;0.6981689749294957;0.6447544329693743;0.500347253723521;0.6965671321336643;0.6590879438433509;
enron;5.393023995209668;5.701011768311641;5.600974795915533;5.551762793211298;5.196196097415869;
Entertainment1;6.6944468020493435;4.998676559335499;4.438216668973715;6.8870292255845476;5.797643462793879;
flags_ml;0.7857081790396434;0.8833703170898989;0.4697646348596712;0.7788259008197218;0.7593443631817374;
protein;0.30606936590893286;0.280415695150352;0.2471790211515507;0.4844372137335872;0.2600011396416481;
Health1;3.4184603418288084;4.1534521563284;4.009190096007108;3.4106264968136317;3.325452267667978;
mediamill;5.65295266958526;5.694216389393926;3.6472586735636994;6.691158942813394;5.116258942518491;
medical;1.0496115815623233;1.0376042228187439;1.2845197083806796;1.1615887766714803;0.9901908918514041;
scene;0.41828088460215945;0.38605893617719717;0.39889940369783006;0.4171346628066035;0.4169004785767735;
Science1;20.94439705365493;10.518041193330506;10.332170376251153;20.966478310563964;18.774695065008995;
Social1;7.895477167117673;7.09819072463308;6.995203633519003;8.028392876792006;7.664324025730396;
Society1;12.42271950489797;8.575052022165545;7.39627620682335;12.572545440129021;10.903538646090587;
yeast;1.6348678942459942;1.549979084961568;1.132596964894386;1.6543018095395337;1.610080873035771;
