Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;5.253208577269479;6.03255823162885;4.9426463893754375;10.157954337277427;4.1703862965254395;
birds;2.777335429448984;3.2453663919422193;2.521835206183487;3.0689126975675336;2.143671723447632;
Business1;2.1337465651794774;2.239926237641849;2.697818479266792;2.1091456327390543;1.914332307261728;
CAL500;7.288696457691271;4.694515447619211;4.0738666879947205;7.815244283048793;6.37810136351247;
Computers1;1.3262726284857256;1.3877746770157808;1.8528664061156916;1.2647298935995994;1.218742364634069;
Corel5k;3.7646718529515617;3.766132505650052;3.7059674597651724;4.121158899818472;3.662624994123824;
Education1;2.4118586991653954;3.1448230956233916;3.783724506979468;2.421836295411692;2.12823939379155;
emotions;0.4071664305944918;0.4031023603715839;0.6606229296997378;0.42113978745617314;0.4064212841739194;
enron;3.999585522019582;3.503976101031387;3.612749185237306;3.8446592699935773;3.6529112481189436;
Entertainment1;0.9520779675039777;1.8162676112545157;2.1068508727204387;0.9630651258440797;0.8792021856873179;
flags_ml;0.753846492662254;0.6656338082275886;0.6300287010226169;0.7587658140017701;0.7375933046145136;
protein;0.24884080370942824;0.2231292871530619;0.1969661539163732;0.4585323216435942;0.24965096848146068;
Health1;1.4577939400382158;1.8363429223276744;2.1632085651538238;1.4664296797592766;1.2802128640598365;
mediamill;1.5159913033193055;1.4229504863279774;2.187359061528439;1.5829264514674026;1.365324494645651;
medical;0.8717872838588078;0.8784260559503767;1.1373617743477733;0.9144150799425698;0.8153451207660857;
scene;0.2562766150772157;0.30809379847146184;0.4810117212722554;0.25796896774209016;0.260607931232918;
Science1;5.065454652071403;4.133266807160272;4.306636454810976;5.16289006027717;3.837380302325856;
Social1;3.630556049559705;3.1872498480120073;3.467983880280951;3.6464836542404613;2.955467390656253;
Society1;2.111969474860592;2.7879823608717182;2.9460123308476724;2.0264020567960603;1.6560800787178456;
yeast;0.7173086049999903;0.6986330683484094;1.2140482905895869;0.7250449033996703;0.6704470813418358;
