Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;4.0529201342720915;4.105309831866195;4.002981249542704;4.855431207645517;3.81077664723281;
birds;2.405511456365122;2.0083577338664393;1.577716059343054;2.5571148997710895;2.0344065743087913;
Business1;0.47863109215552513;0.4789402131312174;0.5228985723547142;0.4786520804369319;0.47693161055780325;
CAL500;2.1406071720551862;2.264750616206428;1.3100017610420065;2.156633883336415;2.113146956506081;
Computers1;1.4277284887159112;1.2066553780469063;1.2526302741858584;1.3914601177537331;1.4103033565408667;
Corel5k;35.27178716562309;9.624318864171517;9.27318740418665;243.6511344739627;26.658761309259514;
Education1;13.696307167721704;3.025665407476181;2.8474797486837176;13.75944315292696;12.804734461804493;
emotions;0.5916403730623511;0.5799403255956567;0.48173080272583246;0.5979753634313473;0.5696050103636044;
enron;1.2092167196393002;2.098437146710265;1.7370190252741649;1.2259700130439293;1.1860859808790143;
Entertainment1;3.640809334740184;2.1056504981423494;1.9793311383452457;3.663774111174066;3.528424156412358;
flags_ml;0.3882004813567663;0.4806487152263764;0.33082047700660294;0.38931774881527037;0.3955609294966591;
protein;0.06859831841744464;0.056740042285546445;0.052172046956325185;0.12491401968139933;0.05128546330906608;
Health1;1.955902724304538;1.5252755371272175;1.3059663777628019;1.9554902686128022;1.9175272412245155;
mediamill;0.7342938054663822;0.7156958846509882;0.7752065680106807;0.7386077231814352;0.7338083895476072;
medical;0.6596372940657402;0.6291448003509948;0.6855806087016804;0.7218332287705744;0.6070748022451089;
scene;0.42436401750711045;0.40137209989984246;0.4217599853908929;0.4237751143124069;0.4231264491215603;
Science1;20.245985139004485;4.799817703498398;4.677767142399503;20.328893845779575;16.482687166364883;
Social1;2.070691326638445;1.4531454618938464;1.4676903252350435;2.0740214899943012;2.0522867316732905;
Society1;3.769039535135221;1.7567035468595564;1.7074648772552448;3.7797613840055084;3.6649967114258133;
yeast;0.564732111676544;0.604492307772172;0.5294577625145238;0.5665754845469056;0.5627734876927999;
