Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.23089948234702076;2.089045712945865;2.4444253813223766;0.1624731653195099;0.3518647850398082;
birds;0.5917848299938039;2.096276339331988;1.9774494586849896;0.5557644569712851;0.6913945915242434;
Business1;0.1538677069934031;0.18636008434075135;0.4768422959589992;0.15423053117206817;0.15451704884259704;
CAL500;0.6906113038187183;0.8287973455854315;1.4215632730811871;0.6444177635967165;0.7326991486632782;
Computers1;0.537261020722725;0.7806418472022199;1.1267982162511512;0.5478196688719709;0.5376635017407939;
Corel5k;0.8217179769127849;3.751945641639537;3.6430711131519926;0.8575126433847577;0.9540633993133962;
Education1;0.29407067253152647;2.3126332949615938;2.506885717496015;0.290318630695231;0.30171317880971654;
emotions;0.4184051024870435;0.41537542632573154;0.663594641267607;0.4237135278510633;0.41781437546732125;
enron;0.552895424124458;0.8029380601752235;0.9705985578739788;0.5334248233668686;0.5676609593482929;
Entertainment1;0.17285507056079116;1.6279745907030068;1.7619936315463742;0.18037393395533638;0.1798180740675752;
flags_ml;0.42085048978766726;0.36341010655938044;0.5119215312996757;0.4211403946415162;0.42917193694582806;
protein;0.014593885280384892;0.01576318087190608;0.020733204902435003;0.10504864724340243;0.02689934292830244;
Health1;0.696727273924629;0.9660382007235919;1.2715931460494596;0.6970735216068269;0.6929730169357781;
mediamill;0.27296967659857163;0.3275023668189164;0.883002626966476;0.2727198517007771;0.2723951548889081;
medical;0.26693951235375457;0.5129589509810539;0.6686551608719739;0.23317053309320254;0.26182713919983963;
scene;0.2607252753917604;0.3587819114446968;0.5555550993714053;0.26329629308389113;0.26591107681897785;
Science1;0.726759423139314;3.755759953771764;3.8371759042687477;0.7292245713777806;0.7403457469165067;
Social1;0.4913214859731105;1.169579593975711;1.4454084567863452;0.4969567243568155;0.49239972271037813;
Society1;0.5139729884997414;1.0873055611129472;1.445976959239508;0.5151583851656766;0.5139346796052842;
yeast;0.39699158399477036;0.3886431564072059;0.7070912144414655;0.39773445932675583;0.39680106136480064;
