Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;1.1224071119215866;1.0405889375248707;1.0619047619047621;1.1361760660247593;1.1218735788994998;
birds;1.0678336980306347;1.0604026845637584;1.0572687224669604;1.0655021834061136;1.075055187637969;
Business1;1.0505042476764963;1.0854596055007901;1.204662130411615;1.0488141753399183;1.0536214291808543;
CAL500;1.118132794068082;1.0003824457405106;1.0099435892532747;1.0342817963661297;1.101112234580384;
Computers1;1.03321293983025;0.9992866868918524;1.1085813586374142;1.0326433131950332;1.0334153964109054;
Corel5k;1.027565502183406;1.0143504531722052;1.0125659713495851;1.0277173913043478;1.0264161220043575;
Education1;1.0203873598369009;1.0389842632331905;1.0571530418250947;1.0200025480952988;1.0197477385654223;
emotions;1.1022473052674395;1.10980694980695;1.077626641651032;1.1010349678456592;1.1135146062872738;
enron;1.0660374223138025;1.039087480821898;1.0400031775965626;1.1117880315192243;1.0426008481026423;
Entertainment1;1.0310317033852765;1.0618671276858485;1.0802271044186622;1.0394453419493805;1.030763030628694;
flags_ml;1.3420884048686739;1.0243122200895713;1.0249520153550862;1.3935897435897437;1.1676047529706066;
protein;3.3476070528967257;1.0;1.0;3.604229607250755;3.0125944584382878;
Health1;1.0474691208525064;1.0605167724388034;1.119215513442045;1.0456632036723845;1.048461352071723;
mediamill;1.097402163979852;1.149769321212559;1.2328276205713753;1.0980730773443081;1.0975324155676478;
medical;1.3090785796482;1.0981517102952245;1.103839635722478;1.3214665569625335;1.3372576753473668;
scene;1.133091832542854;1.0547499072120483;1.0958560092612726;1.1333270979086385;1.1274538310705526;
Science1;1.0378843434417422;1.0333092301187345;1.0405436639954775;1.0348427267928588;1.036720798959674;
Social1;1.0246750827436946;1.0984083901851016;1.1459271396829074;1.0248420452993807;1.0271344171194254;
Society1;1.0236563576528703;1.0307580022046336;1.0346433992972368;1.0240841004647345;1.0239448809444014;
yeast;1.0596954648797416;1.0754320506394905;1.0775109170305674;1.0595876196306195;1.0594652597692926;
