Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;3.230918169670281;2.134042932402379;2.233016274751353;3.676178293810883;3.1389101680820923;
birds;0.6829896907216494;2.3682008368200838;2.5095300342359166;0.6910112359550561;0.659633418584825;
Business1;0.15212688884822947;0.17144734694653493;0.31496013304706444;0.15188298058188207;0.15079185773570364;
CAL500;0.6812766425891156;0.7931749934787148;1.362021574803133;0.6356162280884808;0.7127664562659815;
Computers1;1.310119082508285;0.7986980063909377;0.9112308789254214;1.2573430167746473;1.2993032540812048;
Corel5k;36.55517156257714;3.793490282825091;3.71844026720522;153.91709844559583;29.15497826945871;
Education1;25.1345259391771;2.4009404963985874;2.4580104748146456;25.301764494058336;23.291597475921623;
emotions;0.5179664099458213;0.42500207217810776;0.619543297428206;0.5315055264931259;0.5109451428334222;
enron;0.8874960569102317;0.9856805993842673;1.0615719571591362;0.8635802873217564;0.883759616694204;
Entertainment1;5.708624975174083;1.7128724182050814;1.7441449094076271;5.759188296308892;5.5655098330724995;
flags_ml;0.428481622338429;0.3735394473658013;0.5157335447129265;0.4268096863756445;0.4377993521143004;
protein;0.041826504431659105;0.017424564385890497;0.018986619304111097;0.04659735092118176;0.02928707873161125;
Health1;1.7058154235145386;0.9684649610678532;1.080441447863341;1.7060299552616223;1.675014911661262;
mediamill;0.3297220496618386;0.34996385319607454;0.6737223909865976;0.32869528234888795;0.33128431902565475;
medical;0.8253640078961603;0.5324055398682264;0.5688626940515966;0.9664261150355103;0.7379918012597674;
scene;0.5093999814860118;0.3570986322123288;0.4181991626664884;0.5066842036817855;0.5043122381280956;
Science1;27.406250423746048;3.7672139142754166;3.7882958317055984;27.521872510231457;22.817390651643134;
Social1;2.692962993791345;1.174831622853883;1.2574661672978356;2.6954741576758234;2.6712475629510526;
Society1;3.858857677663081;1.0898349730205825;1.2331774910800215;3.866891615222702;3.756097875036428;
yeast;0.3991034345648796;0.40077227239390384;0.6351307743960777;0.39961113858912745;0.3993162251440217;
