Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;1.4489653135102083;1.100412449920092;1.1036287145082553;1.5076388122536437;1.4718726604447503;
birds;1.820962239780138;1.1661248098273638;1.1723480541091928;1.9308051910473867;1.9603524483016934;
Business1;1.142258715826376;1.1650468240433174;1.2086126368109937;1.1384278618813999;1.1521409402292926;
CAL500;1.0632020098858694;1.143384423160201;1.1602135028564293;1.036393360264691;1.066266570646395;
Computers1;1.092174325691716;1.3102026288525943;1.3467485272370878;1.0976144193149715;1.0929738543235157;
Corel5k;1.192965538041428;1.1538907664270328;1.1538907620947012;1.1417289186130013;1.1986125276528872;
Education1;1.0627315030824622;1.3795249586253195;1.3864485050403088;1.06127316479882;1.0661705363686416;
emotions;1.1561565401956935;1.1304239275893089;1.1433556524389334;1.1417311754357407;1.1614487037860153;
enron;1.189524256086226;1.116238140950993;1.1216499102899293;1.177542294304146;1.2040480424118944;
Entertainment1;1.0460545208408798;1.2813985916674335;1.2939776881623155;1.0506320566474925;1.0470748415095466;
flags_ml;1.1993637075903987;1.1046464335572095;1.1255572600821604;1.211654761904762;1.1644141483354205;
protein;2.554979686541342;0.9474327944373484;0.9433926787288082;2.997016139305841;2.5083291520375126;
Health1;1.1194906827051045;1.1852296326512675;1.2044265162928358;1.1189547932273312;1.1218521033996496;
mediamill;1.2310856081507155;1.3258182563312133;1.3690234255938805;1.2601282721032785;1.2337595190865955;
medical;1.9558484338433169;1.3850819386843913;1.3864773835803175;2.0672519332068657;2.192235557378393;
scene;1.3040305845617974;1.1557525160992197;1.1882975706730956;1.3161380824408953;1.3020989337610092;
Science1;1.1122102932339069;1.2161685542902096;1.2182377778164764;1.1061503882925376;1.11813883396974;
Social1;1.092733944956398;1.270886706289155;1.2802424516850317;1.097624025319366;1.1033559390121386;
Society1;1.056808241293393;1.1126007574058845;1.1136728704568144;1.0562510055010061;1.0578328995956758;
yeast;1.0544355755248318;1.0999883260920165;1.1267133396572926;1.0515041456754837;1.0533368658099804;
