Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;17.204761904761906;15.110389610389612;15.0625;20.7134670487106;15.918322295805737;
birds;1.0698412698412698;7.631578947368422;9.015384615384615;1.060126582278481;1.0571428571428572;
Business1;0.8604302451383326;0.8926302654730777;1.2804649812169577;0.8604301816045844;0.85648134014295;
CAL500;Infinity;Infinity;Infinity;Infinity;Infinity;
Computers1;2.4227200060520944;1.7513898865659638;2.056450107660026;2.339700246699435;2.398824979384901;
Corel5k;499.9;623.875;554.6666666666666;Infinity;416.41666666666663;
Education1;34.45029239766081;4.4615726343847175;4.824804057169202;34.65882352941176;31.46524064171123;
emotions;2.589200609246794;2.562420631044251;2.6238270695160897;2.5995920151537226;2.5102167478277475;
enron;16.10050206993746;8.079771367888434;7.907214142274692;14.66301011556837;16.08192389006343;
Entertainment1;7.203495630461923;2.6017018940433707;2.7589261001937446;7.237766624843162;6.998178506375226;
flags_ml;7.408496732026144;7.0;8.335411471321695;8.26865671641791;7.407407407407407;
protein;0.11895591039976072;0.09568669421076222;0.09014032268034863;0.14158177864255472;0.09327870066398437;
Health1;3.256410256410257;2.4835405998536944;3.23892267593397;3.25503663003663;3.201175406871609;
mediamill;6.100333767265466;6.2276800780301125;7.081833062295775;6.243117944121492;6.0565601125370305;
medical;1.276325591941178;0.9587982660351612;1.095313429032532;1.5011782032400591;1.1481533212283255;
scene;0.6597977116666918;0.4798713502363858;0.7617336388692114;0.6624259517319104;0.6610767283701654;
Science1;36.504231762049955;5.689600775246482;5.872411477785919;36.504231762049955;30.275171776639873;
Social1;3.3214032383482484;1.6432284705484104;2.0232926581581077;3.3259127605951875;3.291622015382996;
Society1;6.4871510080199855;2.647497232556215;3.3256808522666548;6.506599118397921;6.329942164669203;
yeast;4.47549661570698;4.114064102069095;4.507639589525446;4.548450788375545;4.447807727399855;
